anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0502,Mazahua,,999,sin,10.0
1990,0503,Matlatzinca,,009,sin,40.0
1990,0503,Matlatzinca,,020,sin,10.0
1990,0503,Matlatzinca,matlatzinca,015,unica,150.0
1990,0506,Chichimeco jonaz,,007,sin,10.0
1990,0506,Chichimeco jonaz,,030,sin,10.0
1990,0507,Chinanteco,chinanteco del norte,020,estimada,344.7
1990,0507,Chinanteco,chinanteco central,020,estimada,166.7
1990,0507,Chinanteco,chinanteco del sureste bajo,020,estimada,114.1
1990,0507,Chinanteco,chinanteco del sureste medio,020,estimada,85.7
1990,0507,Chinanteco,chinanteco de la Sierra,020,estimada,74.6
1990,0507,Chinanteco,chinanteco del norte,030,estimada,46.7
1990,0507,Chinanteco,chinanteco del oeste,020,estimada,39.5
1990,0507,Chinanteco,chinanteco central bajo,020,estimada,35.2
1990,0507,Chinanteco,chianateco del oeste central bajo,020,estimada,24.1
1990,0507,Chinanteco,chinanteco del oeste central alto,020,estimada,24.1
1990,0507,Chinanteco,chinanteco del sureste alto,020,estimada,16.0
1990,0507,Chinanteco,chinanteco del noroeste,020,estimada,15.4
1990,0507,Chinanteco,chinanteco del sureste medio,030,estimada,3.3
1990,0507,Chinanteco,,002,sin,10.0
1990,0507,Chinanteco,,009,sin,10.0
1990,0508,Tlapaneco,tlapaneco central bajo,012,estimada,355.7
1990,0508,Tlapaneco,tlapaneco del suroeste,012,estimada,330.5
1990,0508,Tlapaneco,tlapaneco del norte,012,estimada,275.7
1990,0508,Tlapaneco,tlapaneco del este,012,estimada,110.4
1990,0508,Tlapaneco,tlapaneco del noroeste alto,012,estimada,68.9
1990,0508,Tlapaneco,tlapaneco del noroeste bajo,012,estimada,68.9
1990,0508,Tlapaneco,tlapaneco del centro,012,estimada,42.9
1990,0508,Tlapaneco,tlapaneco del sur,012,estimada,4.7
1990,0508,Tlapaneco,tlapaneco del oeste,012,estimada,2.4
1990,0508,Tlapaneco,,009,sin,30.0
1990,0509,Mazateco,mazateco del centro,020,estimada,854.5
1990,0509,Mazateco,mazateco del noreste,020,estimada,752.2
1990,0509,Mazateco,mazateco del este bajo,020,estimada,597.0
1990,0509,Mazateco,mazateco del norte,020,estimada,533.2
1990,0509,Mazateco,mazateco de la presa alto,020,estimada,510.1
1990,0509,Mazateco,mazateco del suroeste,020,estimada,268.9
1990,0509,Mazateco,mazateco de la presa bajo,020,estimada,206.6
1990,0509,Mazateco,mazateco del oeste,020,estimada,167.3
1990,0509,Mazateco,mazateco del sureste,020,estimada,96.7
1990,0509,Mazateco,mazateco de Eloxochitlán,020,estimada,89.5
