anio,nivel,cve,nombre,poblacion,sexo,num,den,casos,ee,cota,fuente,universo
1990,alcaldia,017,Venustiano Carranza,hablantes5,Total,5363.0,467707.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,alcaldia,017,Venustiano Carranza,monolingues,Total,10.0,5363.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1990,entidad,09,Ciudad de México,hablantes5,Total,107647.0,7391778.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Población de 5 años y más (estimada con la muestra del 10 %)
1990,entidad,09,Ciudad de México,monolingues,Total,339.0,107647.0,,,censo,"Censo General de Población y Vivienda 1990 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,002,Azcapotzalco,hablantes5,Total,3049.0,416165.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,002,Azcapotzalco,monolingues,Total,9.0,3049.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,003,Coyoacán,hablantes5,Total,8434.0,600095.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,003,Coyoacán,monolingues,Total,16.0,8434.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,004,Cuajimalpa de Morelos,hablantes5,Total,1048.0,121513.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,004,Cuajimalpa de Morelos,monolingues,Total,1.0,1048.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,005,Gustavo A. Madero,hablantes5,Total,12727.0,1139402.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,005,Gustavo A. Madero,monolingues,Total,46.0,12727.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,006,Iztacalco,hablantes5,Total,3595.0,380817.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,006,Iztacalco,monolingues,Total,18.0,3595.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
1995,alcaldia,007,Iztapalapa,hablantes5,Total,23518.0,1512790.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Población de 5 años y más
1995,alcaldia,007,Iztapalapa,monolingues,Total,80.0,23518.0,,,censo,"Conteo de Población y Vivienda 1995 (INEGI), ITER",Hablantes de lengua indígena
