anio,nivel,cve,nombre,lengua,lengua_nombre,familia,sexo,num,den,casos,ee,fuente
2015,alcaldia,008,La Magdalena Contreras,0211,Náhuatl,yuto-nahua,Hombres,352.0,110870.0,8222,0.0003922113606623698,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0211,Náhuatl,yuto-nahua,Mujeres,1154.0,67111.0,9267,0.0022250845302854553,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0211,Náhuatl,yuto-nahua,Mujeres,691.0,181763.0,10390,0.00045670434575034827,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0211,Náhuatl,yuto-nahua,Mujeres,426.0,219680.0,11712,0.00031785969303770706,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0211,Náhuatl,yuto-nahua,Mujeres,1650.0,378535.0,22016,0.00048344211298446537,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0211,Náhuatl,yuto-nahua,Mujeres,1543.0,310461.0,19170,0.0004372119634267153,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0211,Náhuatl,yuto-nahua,Hombres,858.0,244811.0,15065,0.000503800446476291,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0211,Náhuatl,yuto-nahua,Mujeres,558.0,120623.0,8995,0.0006807887367414034,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0211,Náhuatl,yuto-nahua,Hombres,1248.0,63632.0,8851,0.00267400029705897,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0211,Náhuatl,yuto-nahua,Hombres,793.0,164738.0,9567,0.0008440968271730317,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0211,Náhuatl,yuto-nahua,Mujeres,467.0,191249.0,10731,0.0003998756821082458,"Encuesta Intercensal 2015 (INEGI), microdatos"
