familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
yuto-nahua,tarahumara,tarahumara de Cumbres,ralámuli raicha (de Cumbres),CHIHUAHUA,CHIHUAHUA: Guachochi | CHIHUAHUA: Urique,2
yuto-nahua,tarahumara,tarahumara del centro,ralámuli raicha (del centro),CHIHUAHUA,CHIHUAHUA: Balleza | CHIHUAHUA: Batopilas | CHIHUAHUA: El Tule | CHIHUAHUA: Guachochi | CHIHUAHUA: Morelos,1549
yuto-nahua,tarahumara,tarahumara del sur,rarámari raicha,CHIHUAHUA,CHIHUAHUA: Guadalupe y Calvo,386
yuto-nahua,tepehuano del norte,tepehuano del norte,odami,CHIHUAHUA,CHIHUAHUA: Guadalupe y Calvo | CHIHUAHUA: Guachochi,342
yuto-nahua,tepehuano del sur,tepehuano del sur alto,au'dam,DURANGO | NAYARIT | SINALOA,DURANGO: Pueblo Nuevo | NAYARIT: Acaponeta | NAYARIT: Huajicori | SINALOA: Escuinapa,212
yuto-nahua,tepehuano del sur,tepehuano del sur bajo,o'dam (del sur bajo),DURANGO | ZACATECAS,DURANGO: Mezquital | DURANGO: Súchil | ZACATECAS: Valparaíso,525
yuto-nahua,tepehuano del sur,tepehuano del sur central,o'dam (del sur central),DURANGO,DURANGO: Mezquital,7
yuto-nahua,yaqui,yaqui,hiak-nooki,SONORA,SONORA: Bácum | SONORA: Cajeme | SONORA: Empalme | SONORA: Guaymas | SONORA: San Ignacio Río Muerto,177
cochimí-yumana,cucapá,cucapá,kuapá,BAJA CALIFORNIA | SONORA,BAJA CALIFORNIA: Mexicali | SONORA: San Luis Río Colorado,17
cochimí-yumana,kiliwa,kiliwa,ko'lew,BAJA CALIFORNIA,BAJA CALIFORNIA: Ensenada,10
cochimí-yumana,kumiai,kumiai,tipai,BAJA CALIFORNIA,BAJA CALIFORNIA: Ensenada | BAJA CALIFORNIA: Playas del Rosarito | BAJA CALIFORNIA: Tecate,34
cochimí-yumana,ku'ahl,ku'ahl,ku'ahl,BAJA CALIFORNIA,BAJA CALIFORNIA: Ensenada,4
cochimí-yumana,paipai,paipai,jaspuy pai,BAJA CALIFORNIA,BAJA CALIFORNIA: Ensenada,38
seri,seri,seri,cmiique iitom,SONORA,SONORA: Hermosillo | SONORA: Pitiquito,2
oto-mangue,amuzgo,amuzgo del norte,nomndaa | nta | ñondá,GUERRERO,GUERRERO: Tlacoachistlahuaca | GUERRERO: Xochistlahuaca,122
oto-mangue,amuzgo,amuzgo del sur,nundá',GUERRERO,GUERRERO: Azoyú | GUERRERO: Cuajinicuilapa | GUERRERO: Ometepec,167
oto-mangue,amuzgo,amuzgo bajo del este,ts'unuma | jñunnda,OAXACA,OAXACA: Santa María Ipalapa,8
