familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,mixteco,mixteco de San Antonio Huitepec,tu'un savi (de San Antonio Huitepec),OAXACA,OAXACA: San Antonio Huitepec,57
oto-mangue,mixteco,mixteco de Santa María Peñoles,tu'un savi (de Santa María Peñoles),OAXACA,OAXACA: Santa María Peñoles,30
oto-mangue,mixteco,mixteco bajo de Valles,tu'un dau,OAXACA,OAXACA: Cuilapam de Guerrero | OAXACA: San Andrés Ixtlahuaca | OAXACA: San Miguel Peras | OAXACA: San Pedro Ixtlahuaca | OAXACA: Santa Cruz Xoxocotlán | OAXACA: Santa María Atzompa | OAXACA: Santiago Tlazoyaltepec,110
oto-mangue,mixteco,mixteco alto de Valles,tu'un ñudavi,OAXACA,OAXACA: San Andrés Nuxiño | OAXACA: San Francisco Telixtlahuaca | OAXACA: San Pablo Huitzo,34
oto-mangue,mixteco,mixteco del este,tu'un davi (del este),OAXACA,OAXACA: Asunción Nochixtlán | OAXACA: San Pedro Coxcaltepec Cántaros | OAXACA: Santo Domingo Nuxaá,94
oto-mangue,mixteco,mixteco de Santa Inés de Zaragoza,tnu'un davi (de Santa Inés de Zaragoza),OAXACA,OAXACA: Santa Inés de Zaragoza,32
oto-mangue,mixteco,mixteco del este central,tnu'un dau,OAXACA,OAXACA: San Francisco Jaltepetongo | OAXACA: San Juan Diuxi | OAXACA: Santiago Tilantongo,35
oto-mangue,mixteco,mixteco del noroeste medio,dedavi | tu'un savi (del noroeste medio),OAXACA,OAXACA: Heroica Ciudad de Huajuapan de León | OAXACA: Silacayoapam | OAXACA: Tezoatlán de Segura y Luna,39
oto-mangue,mixteco,mixteco del oeste alto,tu'un da'vi,OAXACA,OAXACA: Calihuala | OAXACA: Ixpantepec Nieves | OAXACA: San Agustín Atenango | OAXACA: San Francisco Tlapancingo | OAXACA: San Jorge Nuchita | OAXACA: San Juan Bautista Tlachichilco | OAXACA: San Juan Ihualtepec | OAXACA: San Mateo Nejapam | OAXACA: San Miguel Ahuehuetitlán | OAXACA: San Miguel Tlacotepec | OAXACA: Santiago Cacaloxtepec | OAXACA: Santiago Juxtlahuaca | OAXACA: Santiago Tamazola | OAXACA: Santiago Yucuyachi | OAXACA: Santiago del Río | OAXACA: Santos Reyes Tepejillo | OAXACA: Silacayoapam | OAXACA: Tezoatlán de Segura y Luna | OAXACA: Zapotitlán Palmas,142
oto-mangue,mixteco,mixteco de Santo Domingo Tonalá,to'on nda'vi,OAXACA,OAXACA: Santo Domingo Tonalá,12
oto-mangue,mixteco,mixteco del noroeste central alto,tu'un djavi,OAXACA,OAXACA: Tezoatlán de Segura y Luna,4
oto-mangue,mixteco,mixteco del noroeste central bajo,tu'un javi,OAXACA,OAXACA: Tezoatlán de Segura y Luna,4
oto-mangue,mixteco,mixteco de San Juan Tamazola,tnu'un davi (de San Juan Tamazola),OAXACA,OAXACA: San Juan Tamazola,54
oto-mangue,mixteco,mixteco del noreste,da'an davi (del noreste),OAXACA,OAXACA: Asunción Nochixtlán | OAXACA: San Juan Bautista Coixtlahuaca | OAXACA: San Miguel Chicahua | OAXACA: San Miguel Huautla | OAXACA: Santa María Apazco | OAXACA: Santiago Apoala,77
oto-mangue,mixteco,mixteco de San Pedro Tidaá,tnu'un dawi,OAXACA,OAXACA: San Pedro Tidaá,2
oto-mangue,mixteco,mixteco de Mitlatongo,tu'un lavi,OAXACA,OAXACA: Asunción Nochixtlán,1
oto-mangue,mixteco,mixteco de Coatzóspam,tu'un davi (de Coatzóspam),OAXACA,OAXACA: San Juan Coatzóspam,8
oto-mangue,mixteco,mixteco de Sierra sur noroeste,tu'un savi (de Sierra sur noroeste),OAXACA,OAXACA: Constancia de Rosario | OAXACA: Mesones Hidalgo | OAXACA: Putla Villa de Guerrero | OAXACA: Santo Tomás Ocotepec,49
oto-mangue,mixteco,mixteco de San Pablo Tijaltepec,tu'un savi (de San Pablo Tijaltepec),OAXACA,OAXACA: San Pablo Tijaltepec,17
oto-mangue,mixteco,mixteco del oeste de la costa,tu'un savi (del oeste de la costa),OAXACA,OAXACA: San Antonio Tepetlapa | OAXACA: Santiago Pinotepa Nacional | OAXACA: Santiago Tapextla,83
oto-mangue,mixteco,mixteco de Oaxaca de la costa oeste central,tu'un savi (de Oaxaca de la costa oeste central) | se'en savi,OAXACA,OAXACA: Pinotepa de Don Luis | OAXACA: Santiago Pinotepa Nacional,20
oto-mangue,mixteco,mixteco del noroeste,tu'un savi (del noroeste),OAXACA,OAXACA: San Jerónimo Silacayoapilla | OAXACA: San Miguel Amatitlán | OAXACA: San Simón Zahuatlán | OAXACA: Santos Reyes Yucuná,33
oto-mangue,mixteco,mixteco de Cañada bajo,tu'un savi (de Cañada bajo),OAXACA,OAXACA: San Juan Bautista Cuicatlán | OAXACA: San Pedro Jaltepetongo | OAXACA: San Pedro Jocotipac | OAXACA: Santa María Texcatitlán | OAXACA: Valerio Trujano,35
oto-mangue,mixteco,mixteco de Cañada central,tu'un savi (de Cañada central),OAXACA,OAXACA: Chiquihuitlán de Benito Juárez | OAXACA: Cuyamecalco Villa de Zaragoza | OAXACA: San Miguel Santa Flor | OAXACA: Santa Ana Cuauhtémoc,55
oto-mangue,mixteco,mixteco de Yutanduchi de Guerrero,tu'un savi (de Yutanduchi de Guerrero),OAXACA,OAXACA: Yutanduchi de Guerrero,2
oto-mangue,mixteco,mixteco del noreste bajo,tu'un savi (del noreste bajo),OAXACA,OAXACA: San Bartolo Soyaltepec | OAXACA: Santa María Chachoápam | OAXACA: Santo Domingo Tonaltepec | OAXACA: Santo Domingo Yanhuitlán,24
oto-mangue,mixteco,mixteco de San Juan Teita,dañudavi,OAXACA,OAXACA: San Juan Teita,4
oto-mangue,mixteco,mixteco de la frontera Puebla-Oaxaca,da'an davi (de la frontera Puebla-Oaxaca),OAXACA | PUEBLA,OAXACA: Cosoltepec | OAXACA: San Pedro y San Pablo Tequixtepec | OAXACA: Santiago Chazumba | PUEBLA: Petlalcingo | PUEBLA: San Jerónimo Xayacatlán | PUEBLA: Totoltepec de Guerrero | PUEBLA: Xayacatlán de Bravo,75
oto-mangue,mixteco,mixteco del suroeste de Puebla,da'an davi (del suroeste de Puebla) | de'e dau (del suroeste de Puebla),PUEBLA,PUEBLA: Acatlán | PUEBLA: Chigmecatitlán,20
oto-mangue,mixteco,mixteco de Tlaltempan,da'an davi (de Tlaltempan) | de'e dau (de Tlaltempan),PUEBLA,PUEBLA: Santa Catarina Tlaltempan,1
oto-mangue,mixteco,mixteco de Zapotitlán,da'an davi (de Zapotitlán),PUEBLA,PUEBLA: Zapotitlán,13
oto-mangue,otomí,otomí de la Sierra,ñuju | ñoju | yühu,HIDALGO | PUEBLA | VERACRUZ DE IGNACIO DE LA LLAVE,HIDALGO: Acaxochitlán | HIDALGO: Huehuetla | HIDALGO: Tenango de Doria | HIDALGO: Tulancingo de Bravo | PUEBLA: Chignahuapan | PUEBLA: Francisco Z. Mena | PUEBLA: Honey | PUEBLA: Jalpan | PUEBLA: Huauchinango | PUEBLA: Pahuatlán | PUEBLA: Pantepec | PUEBLA: Tlacuilotepec | PUEBLA: Tlaxco | PUEBLA: Venustiano Carranza | PUEBLA: Xicotepec | PUEBLA: Zihuateutla | VERACRUZ DE IGNACIO DE LA LLAVE: Castillo de Teayo | VERACRUZ DE IGNACIO DE LA LLAVE: Chicontepec | VERACRUZ DE IGNACIO DE LA LLAVE: Coatzintla | VERACRUZ DE IGNACIO DE LA LLAVE: Coyutla | VERACRUZ DE IGNACIO DE LA LLAVE: Huayacocotla | VERACRUZ DE IGNACIO DE LA LLAVE: Ixhuatlán de Madero | VERACRUZ DE IGNACIO DE LA LLAVE: Temapache | VERACRUZ DE IGNACIO DE LA LLAVE: Texcatepec | VERACRUZ DE IGNACIO DE LA LLAVE: Tihuatlán | VERACRUZ DE IGNACIO DE LA LLAVE: Tlachichilco | VERACRUZ DE IGNACIO DE LA LLAVE: Zacualpan | VERACRUZ DE IGNACIO DE LA LLAVE: Zontecomatlán de López y Fuentes,697
oto-mangue,otomí,otomí bajo del noroeste,hñäñho,QUERÉTARO ARTEAGA,QUERÉTARO ARTEAGA: Amealco de Bonfil,45
oto-mangue,otomí,otomí del oeste,ñathó,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO: Zitácuaro,39
oto-mangue,otomí,otomí del oeste del Valle del Mezquital,ñöhñö | ñähñá,HIDALGO,HIDALGO: Huichapan | HIDALGO: Tecozautla,93
oto-mangue,otomí,otomí del Valle del Mezquital,hñähñú | ñänhú (del Valle del Mezquital) | ñandú | ñóhnño (del Valle del Mezquital) | ñanhmu,HIDALGO,HIDALGO: Actopan | HIDALGO: Ajacuba | HIDALGO: Alfajayucan | HIDALGO: Almoloya | HIDALGO: Atitalaquia | HIDALGO: Atotonilco el Grande | HIDALGO: Calnali | HIDALGO: Cardonal | HIDALGO: Chapulhuacán | HIDALGO: Chilcuautla | HIDALGO: Cuautepec de Hinojosa | HIDALGO: Eloxochitlán | HIDALGO: Francisco I. Madero | HIDALGO: Huasca de Ocampo | HIDALGO: Ixmiquilpan | HIDALGO: Jacala de Ledezma | HIDALGO: Metepec | HIDALGO: Metztitlán | HIDALGO: Mixquiahuala de Juárez | HIDALGO: Nicolás Flores | HIDALGO: Pacula | HIDALGO: Progreso de Obregón | HIDALGO: San Agustín Tlaxiaca | HIDALGO: San Bartolo Tutotepec | HIDALGO: San Salvador | HIDALGO: Santiago Anaya | HIDALGO: Tasquillo | HIDALGO: Tepeapulco | HIDALGO: Tepehuacán de Guerrero | HIDALGO: Tepeji del Río de Ocampo | HIDALGO: Tepetitlán | HIDALGO: Tezontepec de Aldama | HIDALGO: Tlahuiltepa | HIDALGO: Tula de Allende | HIDALGO: Zempoala | HIDALGO: Zimapan,1117
oto-mangue,otomí,otomí de Ixtenco,yühmu,TLAXCALA,TLAXCALA: Ixtenco,1
oto-mangue,otomí,otomí de Tilapa o del sur,ñü'hü,ESTADO DE MÉXICO,ESTADO DE MÉXICO: Tianguistengo,1
oto-mangue,otomí,otomí del noroeste,hñöñho | ñühú | ñanhú,GUANAJUATO | QUERÉTARO ARTEAGA,GUANAJUATO: Allende | GUANAJUATO: Apaseo el Alto | GUANAJUATO: Capulhuac | GUANAJUATO: Comonfort | GUANAJUATO: Cortazar | GUANAJUATO: Dolores Hidalgo Cuna de la Independencia | GUANAJUATO: Tierra Blanca | QUERÉTARO ARTEAGA: Amealco de Bonfil | QUERÉTARO ARTEAGA: Cadereyta de Montes | QUERÉTARO ARTEAGA: Colón | QUERÉTARO ARTEAGA: El | QUERÉTARO ARTEAGA: Marqués | QUERÉTARO ARTEAGA: Ezequiel | QUERÉTARO ARTEAGA: Montes | QUERÉTARO ARTEAGA: Querétaro | QUERÉTARO ARTEAGA: San Juan del Río | QUERÉTARO ARTEAGA: Tequisquiapan | QUERÉTARO ARTEAGA: Tolimán,429
oto-mangue,otomí,otomí del centro,hñähñu (del centro) | ñöthó | ñható | hñothó | ñóhnño (del centro),ESTADO DE MÉXICO,ESTADO DE MÉXICO: Acambay | ESTADO DE MÉXICO: Aculco | ESTADO DE MÉXICO: Amanalco de Becerra | ESTADO DE MÉXICO: Atlacomulco | ESTADO DE MÉXICO: Axapusco | ESTADO DE MÉXICO: Calimaya | ESTADO DE MÉXICO: Chapa de Mota | ESTADO DE MÉXICO: Huixquilucan | ESTADO DE MÉXICO: Jilotepec | ESTADO DE MÉXICO: Jilotzingo | ESTADO DE MÉXICO: Jiquipilco | ESTADO DE MÉXICO: Lerma | ESTADO DE MÉXICO: Morelos | ESTADO DE MÉXICO: Naucalpan de Juárez | ESTADO DE MÉXICO: Nicolás Romero | ESTADO DE MÉXICO: Ocoyoacac | ESTADO DE MÉXICO: Otzolotepec | ESTADO DE MÉXICO: San Felipe del Progreso | ESTADO DE MÉXICO: Temascalcingo | ESTADO DE MÉXICO: Temascaltepec | ESTADO DE MÉXICO: Temoaya | ESTADO DE MÉXICO: Tianguistenco | ESTADO DE MÉXICO: Timilpan | ESTADO DE MÉXICO: Toluca | ESTADO DE MÉXICO: Villa del Carbón | ESTADO DE MÉXICO: Xonacatlán | ESTADO DE MÉXICO: Zinacantepec,904
oto-mangue,pame,pame del norte,xi'iuy,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ: Aquismón | SAN LUIS POTOSÍ: Cárdenas | SAN LUIS POTOSÍ: Ciudad del Maíz,48
oto-mangue,pame,pame del centro,xi'oi,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ: Lagunillas | SAN LUIS POTOSÍ: Rayón | SAN LUIS POTOSÍ: Santa Catarina | SAN LUIS POTOSÍ: Tamasopo,152
oto-mangue,popoloca,popoloca del norte,ngiwa (del norte) | ngigua (del norte),PUEBLA,PUEBLA: Tlacotepec de Benito Juárez,17
oto-mangue,popoloca,popoloca del centro,ngiba (del centro),PUEBLA,PUEBLA: Tepexi de Rodríguez,3
oto-mangue,popoloca,popoloca de oriente,ngiwa (de oriente) | ngigua (de oriente) | ngiba (de oriente),PUEBLA,PUEBLA: San Gabriel Chilac | PUEBLA: San Vicente Coyotepec | PUEBLA: Tepanco de López | PUEBLA: Tepexi de Rodríguez | PUEBLA: Zapotitlán Salinas,13
oto-mangue,popoloca,popoloca del poniente,ngiba (del poniente),PUEBLA,PUEBLA: Santa Inés Ahuatempan,6
oto-mangue,tlahuica,tlahuica,pjiekakjoo,ESTADO DE MÉXICO,ESTADO DE MÉXICO: Ocuilán,10
oto-mangue,tlapaneco,tlapaneco del sur,m'ph tsíndíí,GUERRERO,GUERRERO: Azoyú | GUERRERO: Marquelia,12
oto-mangue,tlapaneco,tlapaneco del oeste,tlapaneco,GUERRERO,GUERRERO: Quechultenango,8
oto-mangue,tlapaneco,tlapaneco central bajo,m'ph xku ix rdí,GUERRERO,GUERRERO: Iliatenco | GUERRERO: Malinaltepec | GUERRERO: San Luis Acatlán,159
oto-mangue,tlapaneco,tlapaneco del suroeste,me'p wí'n,GUERRERO,GUERRERO: Acatepec | GUERRERO: Ayutla de los Libres | GUERRERO: San Luis Acatlán | GUERRERO: Tlacoapa | GUERRERO: Zapotitlán Tablas,122
oto-mangue,tlapaneco,tlapaneco del este,m'ph bátháá,GUERRERO,GUERRERO: Acapulco | GUERRERO: Atlamajalcingo del Monte | GUERRERO: Metlatónoc | GUERRERO: Tlapa de Comonfort,29
oto-mangue,tlapaneco,tlapaneco del centro,mi'ph míŋuíí,GUERRERO,GUERRERO: Tlacoapa,38
oto-mangue,tlapaneco,tlapaneco del norte,me'ph xrágáá,GUERRERO,GUERRERO: Acatepec | GUERRERO: Copanatoyac | GUERRERO: Tlapa de Comonfort | GUERRERO: Zapotitlán Tablas,29
oto-mangue,tlapaneco,tlapaneco del noroeste alto,me'phgu,GUERRERO,GUERRERO: Atlixtac,7
oto-mangue,tlapaneco,tlapaneco del noroeste bajo,me'phaa xma'íín,GUERRERO,GUERRERO: Atlixtac,20
oto-mangue,triqui,triqui de San Juan Copala,xnánj n' a,OAXACA,OAXACA: Santiago Juxtlahuaca,50
oto-mangue,triqui,triqui de la media,stnáj n',OAXACA,OAXACA: San Martín Itunyoso,6
oto-mangue,triqui,triqui de la alta,gu a'm nánj nï'ïn,OAXACA,OAXACA: Putla Villa de Guerrero,33
oto-mangue,triqui,triqui de la baja,tnanj ni'inj,OAXACA,OAXACA: Constancia del Rosario | OAXACA: Putla Villa de Guerrero,15
oto-mangue,zapoteco,zapoteco de Texmelucan,rixhquei,OAXACA,OAXACA: San Lorenzo Texmelucan,29
oto-mangue,zapoteco,"zapoteco de la Sierra sur, noroeste bajo",rizi,OAXACA,OAXACA: Villa Sola de Vega,28
oto-mangue,zapoteco,"zapoteco de la Sierra sur, noroeste",risna | rixhna,OAXACA,OAXACA: Santa María Zaniza | OAXACA: Santiago Textitlán | OAXACA: Villa Sola de Vega,22
oto-mangue,zapoteco,zapoteco de San Antonino el Alto,di'tse'e (de San Antonino el Alto),OAXACA,OAXACA: San Antonino el Alto,13
oto-mangue,zapoteco,"zapoteco de la Sierra sur, oeste bajo","di'tse'e (de la Sierra sur, oeste bajo)",OAXACA,OAXACA: San Miguel Mixtepec | OAXACA: Santa Cruz Mixtepec,20
oto-mangue,zapoteco,"zapoteco de la Sierra sur, noroeste alto",dialó,OAXACA,OAXACA: Santa María Lachixío | OAXACA: San Vicente Lachixío,13
oto-mangue,zapoteco,zapoteco de San Miguel Aloápam,tizha',OAXACA,OAXACA: San Miguel Aloápam,4
oto-mangue,zapoteco,"zapoteco serrano, del noroeste",tizhà,OAXACA,OAXACA: Abejones | OAXACA: Santa María Jaltianguis,4
oto-mangue,zapoteco,"zapoteco serrano, del oeste",tizáriù | xhtisariú,OAXACA,OAXACA: Nuevo Zoquiápam | OAXACA: San Juan Atepec | OAXACA: San Juan Evangelista Analco | OAXACA: San Miguel del Río | OAXACA: San Pablo Macuiltianguis | OAXACA: Santa Catarina Ixtepeji,35
oto-mangue,zapoteco,"zapoteco serrano, bajo","didzá (serrano, bajo)",OAXACA,OAXACA: Capulálpam de Méndez | OAXACA: Guelatao de Juárez | OAXACA: Ixtlán de Juárez | OAXACA: Natividad | OAXACA: San Juan Chicomezúchil | OAXACA: San Miguel Amatlán | OAXACA: Santa Catarina Lachatao | OAXACA: Santa María Yavesía | OAXACA: Santiago Xiacuí,40
oto-mangue,zapoteco,"zapoteco serrano, del noroeste bajo",tidza',OAXACA,OAXACA: Ixtlán de Juárez | OAXACA: San Ildelfonso Villa Alta | OAXACA: San Juan Yaeé | OAXACA: San Juan Yatzona | OAXACA: San Miguel Yotao | OAXACA: San Pedro Yaneri | OAXACA: Santiago Camotlán | OAXACA: Santiago Lalopa | OAXACA: Santo Domingo Roayaga | OAXACA: Villa Talea de Castro | OAXACA: Tanetze de Zaragoza,52
oto-mangue,zapoteco,zapoteco de Santa María Temaxcalapa,xitzhá,OAXACA,OAXACA: Santa María Temaxcalapa,1
oto-mangue,zapoteco,zapoteco del oeste de Tuxtepec,diza shisa' | diza shitsa (del oeste de Tuxtepec) | diza shitsá,OAXACA,OAXACA: San Juan Comaltepec | OAXACA: San Juan Lalana | OAXACA: Santiago Choápam,45
oto-mangue,zapoteco,zapoteco de Santiago Yaveo,di' shitsa' | diza shitsa (de Santiago Yaveo),OAXACA,OAXACA: Santiago Yaveo,20
oto-mangue,zapoteco,"zapoteco serrano, del este",xitsúa,OAXACA,OAXACA: San Ildefonso Villa Alta,5
oto-mangue,zapoteco,"zapoteco serrano, del sureste","didxa shiza' | didza shon (serrano, del sureste) | dilla xidza | dishuràsh | diya xhon",OAXACA,OAXACA: San Andrés Yaá | OAXACA: San Baltazar Yatzachi el Bajo | OAXACA: San | OAXACA: Cristóbal Lachirioag | OAXACA: San Ildefonso Villa Alta | OAXACA: San Melchor Betaza | OAXACA: Villa Hidalgo Yalálag,11
oto-mangue,zapoteco,"zapoteco serrano, del sureste medio","didza shon (serrano, del sureste medio) | dilla xhon (serrano, del sureste medio) | dille xhon",OAXACA,OAXACA: San Andrés Solaga | OAXACA: San Bartolomé Zoogocho | OAXACA: San Baltazar Yatzachi el Bajo | OAXACA: Santiago Zoochila | OAXACA: Santa María Yalina,13
oto-mangue,zapoteco,"zapoteco serrano, del sureste alto","dilla xhon (serrano, del sureste alto) | diya dxon",OAXACA,OAXACA: San Juan Tabaá | OAXACA: San Andrés Solaga,3
oto-mangue,zapoteco,zapoteco de Santiago Laxopa,dilla rhune' | dishe xun,OAXACA,OAXACA: Santiago Laxopa,6
oto-mangue,zapoteco,"zapoteco serrano, del sureste bajo",ditse' | ditse' hualats,OAXACA,OAXACA: San Francisco Cajonos | OAXACA: San Mateo Cajonos | OAXACA: San Pablo Yaganiza | OAXACA: San Pedro Cajonos,9
oto-mangue,zapoteco,"zapoteco serrano, del oeste medio",tizha,OAXACA,OAXACA: Santa Ana Yareni | OAXACA: Teococuilco de Marcos Pérez,7
oto-mangue,zapoteco,zapoteco de Valles del sur,didzé,OAXACA,OAXACA: Coatecas Altas | OAXACA: Heróica Ciudad de Ejutla de Crespo | OAXACA: San José del Progreso,21
oto-mangue,zapoteco,zapoteco de San Vicente Coatlán,didxnde,OAXACA,OAXACA: San Vicente Coatlán,6
oto-mangue,zapoteco,"zapoteco de la Sierra sur, del este bajo",didxke',OAXACA,OAXACA: Miahuatlán de Porfirio Díaz | OAXACA: San Jerónimo Coatlán | OAXACA: San Miguel Coatlán | OAXACA: San Pablo Coatlán,46
oto-mangue,zapoteco,zapoteco de la costa oeste,diste' (de la costa oeste) | dixhque' | ristee',OAXACA,OAXACA: San Baltazar Loxicha | OAXACA: San Jerónimo Coatlán | OAXACA: Santa María Tonameca | OAXACA: Santo Domingo de Morelos,70
oto-mangue,zapoteco,zapoteco de la costa central,diste' (de la costa central) | distèe (de la costa central),OAXACA,OAXACA: Candelaria Loxicha | OAXACA: Pluma Hidalgo | OAXACA: San Agustín Loxicha | OAXACA: San Bartolomé Loxicha | OAXACA: San Pedro Pochutla | OAXACA: Santa María Colotepec | OAXACA: Santa María Huatulco | OAXACA: Santa María Tonameca,414
oto-mangue,zapoteco,"zapoteco de la Sierra sur, central",diiste,OAXACA,OAXACA: Miahuatlán de Porfirio Díaz | OAXACA: San Andrés Paxtlán | OAXACA: Santa Cruz Xitla | OAXACA: Santa Catarina Cuixtla | OAXACA: Santa Lucía Miahuatlán | OAXACA: Santo Tomás Tamazulapan,64
oto-mangue,zapoteco,"zapoteco de la Sierra sur, noreste","ditsë | dizde (de la Sierra sur, noreste)",OAXACA,OAXACA: San Carlos Yautepec | OAXACA: San Cristóbal Amatlán | OAXACA: San José Lachiguiri | OAXACA: San Juan Mixtepec Distrito 26 | OAXACA: San Pedro Mixtepec Distrito 26 | OAXACA: San Pedro Mártir Quiéchapa,16
oto-mangue,zapoteco,"zapoteco de la Sierra sur, noroeste medio","distse' | ditsè (de la Sierra sur, noroeste medio) | ditsëë",OAXACA,OAXACA: San Carlos Yautepec | OAXACA: Santa Catalina Quierí | OAXACA: Santa Catarina Quioquitani,9
oto-mangue,zapoteco,zapoteco de Quiavicuzas,ditsere' | dixhtiò,OAXACA,OAXACA: San Carlos Yautepec,1
oto-mangue,zapoteco,"zapoteco de la Sierra sur, del norte","dizde (de la Sierra sur, del norte) | dizè (de la Sierra sur, del norte)",OAXACA,OAXACA: San Cristóbal Amatlán | OAXACA: San | OAXACA: Francisco Logueche | OAXACA: San Ildefonso Amatlán | OAXACA: San Luis Amatlán,17
oto-mangue,zapoteco,zapoteco de la costa noreste,desté | distèe (de la costa noreste),OAXACA,OAXACA: San Juan Ozolotepec | OAXACA: San Marcial Ozolotepec | OAXACA: San Mateo Piñas | OAXACA: San Miguel Suchixtepec | OAXACA: San Pedro El Alto | OAXACA: San Sebastián Río Hondo | OAXACA: Santa María Ozolotepec | OAXACA: Santo Domingo Ozolotepec,171
oto-mangue,zapoteco,zapoteco de Mixtepec,dizde (de Mixtepec),OAXACA,OAXACA: San Cristóbal Amatlán,1
oto-mangue,zapoteco,"zapoteco de la Sierra sur, del sureste bajo","diste' (de la Sierra sur, del sureste bajo) | distse'e",OAXACA,OAXACA: Santiago Xánica,31
oto-mangue,zapoteco,"zapoteco de la Sierra sur, del sureste alto","didsé | ditsa | ditsè (de la Sierra sur, del sureste alto)",OAXACA,OAXACA: San Francisco Ozolotepec | OAXACA: San Juan Ozolotepec,4
oto-mangue,zapoteco,zapoteco de Santa María Quiegolani,disà,OAXACA,OAXACA: Santa María Quiegolani,4
oto-mangue,zapoteco,zapoteco de San Bartolo Yautepec,di'izhdë,OAXACA,OAXACA: San Bartolo Yautepec,3
oto-mangue,zapoteco,zapoteco de Asunción Tlacolulita,tixh nguizë,OAXACA,OAXACA: Asunción Tlacolulita,2
oto-mangue,zapoteco,zapoteco de la costa este,ditsa',OAXACA,OAXACA: San Francisco Ozolotepec | OAXACA: San Juan Ozolotepec | OAXACA: San Miguel del Puerto | OAXACA: Santiago Xánica,25
oto-mangue,zapoteco,"zapoteco de Valles, oeste","dixasà (de Valles, oeste) | dizë",OAXACA,OAXACA: Magdalena Mixtepec | OAXACA: San Bernardo Mixtepec | OAXACA: San Pablo Cuatro Venados | OAXACA: San Pablo Huixtepec,24
oto-mangue,zapoteco,zapoteco de San Felipe Tejalápam,tizá (de San Felipe Tejalápam),OAXACA,OAXACA: San Felipe Tejalápam,14
oto-mangue,zapoteco,"zapoteco de Valles, noroeste","tizá (de Valles, noroeste)",OAXACA,OAXACA: San Agustín Etla | OAXACA: San Andrés Zautla | OAXACA: San Pablo Etla | OAXACA: Santa María Atzompa | OAXACA: Santo Tomás Mazaltepec | OAXACA: Villa de Etla,30
oto-mangue,zapoteco,"zapoteco de Valles, norte",dizdà,OAXACA,OAXACA: San Andrés Huayápam | OAXACA: Santo Domingo Tonaltepec | OAXACA: Tlalixtac de Cabrera,28
oto-mangue,zapoteco,"zapoteco de Valles, del noroeste medio",dixsà,OAXACA,OAXACA: Oaxaca de Juárez | OAXACA: San Antonio de la Cal | OAXACA: San | OAXACA: Raymundo Jalpan | OAXACA: San Sebastián Tutla | OAXACA: Santa Cruz Xoxocotlán | OAXACA: Santa Lucía del Camino | OAXACA: Santa María Guelacé | OAXACA: Santa María del Tule,61
oto-mangue,zapoteco,"zapoteco de Valles, del noroeste bajo","dizá (de Valles, del noroeste bajo)",OAXACA,OAXACA: San Bartolo Coyotepec | OAXACA: Santa María Coyotepec | OAXACA: Villa de Zaachila,15
oto-mangue,zapoteco,"zapoteco de Valles, del suroeste medio","dizé | dizè (de Valles, del suroeste medio)",OAXACA,OAXACA: Asunción Ocotlán | OAXACA: Magdalena Ocotlán | OAXACA: San Pedro Mártir | OAXACA: San Pedro Apóstol,9
oto-mangue,zapoteco,zapoteco de Zimatlán de Álvarez,dixasà (de Zimatlán de Alvarez),OAXACA,OAXACA: Zimatlán de Álvarez,10
oto-mangue,zapoteco,"zapoteco de Valles, del oeste central","dizhá (de Valles, del oeste central)",OAXACA,OAXACA: Santa Ana Zegache | OAXACA: Santa Inés Yatzeche,6
oto-mangue,zapoteco,"zapoteco de Valles, del centro",disá,OAXACA,OAXACA: Santo Tomás Jalieza,3
oto-mangue,zapoteco,"zapoteco de Valles, de suroeste alto",xtizhna,OAXACA,OAXACA: Santiago Apóstol,5
oto-mangue,zapoteco,"zapoteco de Valles, del suroeste central","dizá (de Valles, del suroeste central)",OAXACA,OAXACA: Ocotlán de Morelos | OAXACA: San Antonino Castillo Velasco | OAXACA: San Jerónimo Taviche | OAXACA: San Martín de los Cansecos | OAXACA: Santa Catarina Minas | OAXACA: Santa Lucía Ocotlán,30
oto-mangue,zapoteco,"zapoteco de Valles, del centro bajo","dizhá (de Valles, del centro bajo)",OAXACA,OAXACA: San Miguel Tilquiápam,3
oto-mangue,zapoteco,"zapoteco de Valles, del norte central",dixzhá,OAXACA,OAXACA: Magdalena Teitipac | OAXACA: San Bartolomé Quialana | OAXACA: San Francisco Lachigoló | OAXACA: San Jerónimo Tlacochahuaya | OAXACA: San Juan Teitipac | OAXACA: San Lucas Quiavini | OAXACA: San Martín Tilcajete | OAXACA: San Sebastián Abasolo | OAXACA: San Sebastián Teitipac | OAXACA: Santa Ana del Valle | OAXACA: Santa Cruz Papalutla | OAXACA: Santo Tomás Jalieza | OAXACA: Teotitlán del Valle | OAXACA: Tlacolula de Matamoros | OAXACA: Villa Díaz Ordaz,58
oto-mangue,zapoteco,"zapoteco de Valles, del este central","disàa | dizá (de Valles, del este central)",OAXACA,OAXACA: San Dionisio Ocotepec | OAXACA: Santiago Matatlán,30
oto-mangue,zapoteco,zapoteco de San Baltazar Chichicapam,dzhi'iza,OAXACA,OAXACA: San Baltazar Chichicapam,2
