lengua,agrupacion,variante,cve_ent,cve_mun,nom_mun,compartido,parte
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,157,Castillo de Teayo,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,055,Chalma,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,056,Chiconamel,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,058,Chicontepec,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,063,Chontla,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,035,Citlaltépetl,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,072,Huayacocotla,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,076,Ilamatlán,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,078,Ixcatepec,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,083,Ixhuatlán de Madero,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,123,Pánuco,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,129,Platón Sánchez,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,150,Tamalín,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,154,Tantima,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,155,Tantoyuca,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,167,Tepetzintla,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,170,Texcatepec,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,180,Tlachichilco,0,1.0
0211,náhuatl,náhuatl de la Huasteca veracruzana,030,202,Zontecomatlán de López y Fuentes,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,003,Aquismón,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,053,Axtla de Terrazas,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,013,Ciudad Valles,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,014,Coxcatlán,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,016,Ébano,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,018,Huehuetlán,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,057,Matlapa,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,037,Tamazunchale,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,038,Tampacán,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,039,Tampamolón Corona,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,040,Tamuín,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,012,Tancanhuitz de Santos,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,042,Tanquián de Escobedo,0,1.0
0211,náhuatl,náhuatl de la Huasteca potosina,024,054,Xilitla,0,1.0
0211,náhuatl,náhuatl de Oaxaca,020,244,San Martín Toxpalan,0,1.0
0211,náhuatl,náhuatl de Oaxaca,020,261,San Miguel Amatitlán,0,1.0
0211,náhuatl,náhuatl de Oaxaca,020,434,Santa María Teopoxco,0,1.0
0211,náhuatl,náhuatl de Oaxaca,020,490,Santiago Texcalcingo,0,1.0
0211,náhuatl,náhuatl de Oaxaca,020,545,Teotitlán de Flores Magón,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,013,Altepexi,0,1.0
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,035,Coxcatlán,1,0.5
0211,náhuatl,"náhuatl de la Sierra negra, sur",021,124,San Gabriel Chilac,0,1.0
