cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0901000011858,Álvaro Obregón,12053,143,91,,11763,10229,2785,3890,3388,3048,3695,2811,2721,2227,13,12.95,0.9653,Bajo,Muy bajo,1.19,0.77,,23.11,87.1,78.35,94.99,72.26,69.95,57.25,0.33,2.0,1.0
0901000011699,Álvaro Obregón,9388,509,191,0,9104,7560,3365,2473,1718,1389,2282,1843,1057,612,4,10.21,0.9423,Medio,Bajo,5.42,2.1,0.0,35.84,69.47,56.17,92.28,74.52,42.74,24.75,0.16,3.0,2.0
0901000011913,Álvaro Obregón,3983,68,27,0,3909,3258,863,1121,876,651,1045,923,670,316,3,10.78,0.959,Bajo,Bajo,1.71,0.69,0.0,21.67,78.14,58.07,93.22,82.34,59.77,28.19,0.27,2.0,2.0
0901000010544,Álvaro Obregón,2482,44,17,,2423,2104,832,760,565,443,708,652,373,237,,11.17,0.9483,Bajo,Bajo,1.77,0.7,,33.52,74.34,58.29,93.16,85.79,49.08,31.18,,2.0,2.0
0901000010648,Álvaro Obregón,1560,22,15,0,1529,1392,259,650,613,577,631,572,495,399,0,14.9,0.9816,Muy bajo,Muy bajo,1.41,0.98,0.0,16.6,94.31,88.77,97.08,88.0,76.15,61.38,0.0,1.0,1.0
0901000010633,Álvaro Obregón,1888,15,6,0,1843,1618,398,573,500,413,542,483,350,234,,12.35,0.972,Muy bajo,Muy bajo,0.79,0.33,0.0,21.08,87.26,72.08,94.59,84.29,61.08,40.84,,1.0,1.0
0901000011627,Álvaro Obregón,5748,123,41,0,5571,4614,1489,1506,1056,787,1362,1215,653,355,14,10.47,0.9424,Medio,Bajo,2.14,0.74,0.0,25.9,70.12,52.26,90.44,80.68,43.36,23.57,0.93,3.0,2.0
0901000010135,Álvaro Obregón,21198,420,181,,20530,17898,3564,8064,7512,6919,7867,6304,5573,5568,3,13.9,0.9769,Muy bajo,Muy bajo,1.98,0.88,,16.81,93.15,85.8,97.56,78.17,69.11,69.05,0.04,1.0,1.0
0901000010686,Álvaro Obregón,2695,16,12,0,2639,2415,609,904,850,790,886,824,708,517,0,14.5,0.9662,Bajo,Muy bajo,0.59,0.45,0.0,22.6,94.03,87.39,98.01,91.15,78.32,57.19,0.0,2.0,1.0
0901000010559,Álvaro Obregón,2371,18,14,0,2327,2102,514,821,736,673,797,668,576,475,3,13.68,0.9769,Muy bajo,Muy bajo,0.76,0.6,0.0,21.68,89.65,81.97,97.08,81.36,70.16,57.86,0.37,1.0,1.0
