cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0900200010824,Azcapotzalco,3028,60,35,0,2951,2563,626,981,807,672,913,823,516,391,,12.32,0.9625,Bajo,Muy bajo,1.98,1.19,0.0,20.67,82.26,68.5,93.07,83.89,52.6,39.86,,2.0,1.0
0900200010858,Azcapotzalco,4395,79,31,,4270,3684,909,1406,1027,805,1275,1123,694,470,,11.95,0.9616,Bajo,Bajo,1.8,0.73,,20.68,73.04,57.25,90.68,79.87,49.36,33.43,,2.0,2.0
0900200011057,Azcapotzalco,2418,17,14,0,2379,2122,470,860,772,713,811,694,596,447,0,14.06,0.969,Muy bajo,Muy bajo,0.7,0.59,0.0,19.44,89.77,82.91,94.3,80.7,69.3,51.98,0.0,1.0,1.0
0900200011061,Azcapotzalco,1719,11,6,0,1679,1490,284,673,500,415,603,504,370,191,0,12.32,0.9489,Bajo,Muy bajo,0.64,0.36,0.0,16.52,74.29,61.66,89.6,74.89,54.98,28.38,0.0,2.0,1.0
090020001117A,Azcapotzalco,1602,14,10,0,1565,1368,253,537,483,432,517,414,370,277,0,12.88,0.9704,Muy bajo,Muy bajo,0.87,0.64,0.0,15.79,89.94,80.45,96.28,77.09,68.9,51.58,0.0,1.0,1.0
0900200010843,Azcapotzalco,3643,65,42,0,3567,3229,879,1245,1063,918,1160,956,766,564,3,13.54,0.9651,Bajo,Muy bajo,1.78,1.18,0.0,24.13,85.38,73.73,93.17,76.79,61.53,45.3,0.24,2.0,1.0
0900200010966,Azcapotzalco,2047,30,12,0,2023,1817,384,644,604,524,617,506,486,310,0,13.36,0.9734,Muy bajo,Muy bajo,1.47,0.59,0.0,18.76,93.79,81.37,95.81,78.57,75.47,48.14,0.0,1.0,1.0
0900200010379,Azcapotzalco,4525,140,44,0,4259,3694,867,1335,1031,760,1187,1151,603,435,3,11.54,0.9593,Bajo,Bajo,3.09,1.03,0.0,19.16,77.23,56.93,88.91,86.22,45.17,32.58,0.22,2.0,2.0
0900200010398,Azcapotzalco,4230,65,28,0,4118,3538,1023,1349,981,740,1249,1067,601,412,3,11.6,0.9604,Bajo,Bajo,1.54,0.68,0.0,24.18,72.72,54.86,92.59,79.1,44.55,30.54,0.22,2.0,2.0
0900200010275,Azcapotzalco,7063,69,25,0,6874,5883,1513,1876,1452,1144,1701,1491,848,523,9,10.81,0.9429,Medio,Bajo,0.98,0.36,0.0,21.42,77.4,60.98,90.67,79.48,45.2,27.88,0.48,3.0,2.0
090020001028A,Azcapotzalco,3133,29,11,0,3081,2751,618,999,815,700,925,836,572,436,0,12.72,0.9708,Muy bajo,Muy bajo,0.93,0.36,0.0,19.73,81.58,70.07,92.59,83.68,57.26,43.64,0.0,1.0,1.0
0900200010294,Azcapotzalco,6122,56,28,0,5942,5169,1216,1981,1616,1356,1815,1461,1039,743,,11.95,0.9648,Bajo,Muy bajo,0.91,0.47,0.0,19.86,81.57,68.45,91.62,73.75,52.45,37.51,,2.0,1.0
0900200010307,Azcapotzalco,5718,72,33,0,5558,4809,1077,1659,1282,1037,1495,1323,723,597,,11.28,0.9585,Bajo,Bajo,1.26,0.59,0.0,18.84,77.28,62.51,90.11,79.75,43.58,35.99,,2.0,2.0
0900200010311,Azcapotzalco,3817,57,30,0,3727,3218,939,1203,941,728,1100,941,530,382,,11.9,0.9593,Bajo,Bajo,1.49,0.8,0.0,24.6,78.22,60.52,91.44,78.22,44.06,31.75,,2.0,2.0
0900200010326,Azcapotzalco,8373,162,58,0,8123,6966,1500,2768,2391,2012,2659,2191,1509,1326,,12.65,0.9716,Muy bajo,Muy bajo,1.93,0.71,0.0,17.91,86.38,72.69,96.06,79.15,54.52,47.9,,1.0,1.0
0900200010330,Azcapotzalco,2352,31,17,0,2287,1863,497,606,448,376,542,463,273,191,,10.83,0.9547,Bajo,Bajo,1.32,0.74,0.0,21.13,73.93,62.05,89.44,76.4,45.05,31.52,,2.0,2.0
0900200010345,Azcapotzalco,4283,37,23,0,4163,3611,886,1253,956,815,1150,950,606,480,,11.57,0.9575,Bajo,Bajo,0.86,0.55,0.0,20.69,76.3,65.04,91.78,75.82,48.36,38.31,,2.0,2.0
090020001035A,Azcapotzalco,6325,88,30,0,6124,5203,1271,1891,1558,1295,1754,1408,928,780,10,11.85,0.9624,Bajo,Muy bajo,1.39,0.49,0.0,20.09,82.39,68.48,92.76,74.46,49.07,41.25,0.53,2.0,1.0
0900200010468,Azcapotzalco,4552,59,27,0,4442,3906,994,1650,1359,1161,1522,1261,866,706,23,12.6,0.9559,Bajo,Muy bajo,1.3,0.61,0.0,21.84,82.36,70.36,92.24,76.42,52.48,42.79,1.39,2.0,1.0
0900200010487,Azcapotzalco,4207,81,37,0,4102,3557,1049,1308,988,772,1200,1100,606,431,5,11.62,0.9595,Bajo,Bajo,1.93,0.9,0.0,24.93,75.54,59.02,91.74,84.1,46.33,32.95,0.38,2.0,2.0
0900200010491,Azcapotzalco,6312,91,52,0,6168,5394,1324,1914,1574,1321,1797,1701,1056,821,4,12.19,0.9644,Bajo,Muy bajo,1.44,0.84,0.0,20.98,82.24,69.02,93.89,88.87,55.17,42.89,0.21,2.0,1.0
0900200010504,Azcapotzalco,4754,41,21,0,4663,4140,851,1530,1309,1176,1444,1288,947,780,,13.56,0.9697,Muy bajo,Muy bajo,0.86,0.45,0.0,17.9,85.56,76.86,94.38,84.18,61.9,50.98,,1.0,1.0
0900200010519,Azcapotzalco,2409,39,15,0,2344,2024,471,793,623,503,735,639,405,330,,12.64,0.9699,Muy bajo,Muy bajo,1.62,0.64,0.0,19.55,78.56,63.43,92.69,80.58,51.07,41.61,,1.0,1.0
0900200011127,Azcapotzalco,2837,70,30,0,2768,2410,352,875,730,621,828,748,322,346,,12.2,0.9759,Muy bajo,Muy bajo,2.47,1.08,0.0,12.41,83.43,70.97,94.63,85.49,36.8,39.54,,1.0,1.0
0900200010171,Azcapotzalco,2313,38,20,0,2265,2009,423,695,547,463,632,550,385,299,,11.82,0.9699,Muy bajo,Muy bajo,1.64,0.88,0.0,18.29,78.71,66.62,90.94,79.14,55.4,43.02,,1.0,1.0
0900200010364,Azcapotzalco,3407,45,20,0,3333,2901,722,914,719,530,840,776,456,273,,11.41,0.9589,Bajo,Bajo,1.32,0.6,0.0,21.19,78.67,57.99,91.9,84.9,49.89,29.87,,2.0,2.0
0900200010383,Azcapotzalco,4040,85,43,,3954,3403,896,1226,941,761,1128,979,635,447,4,11.68,0.9605,Bajo,Bajo,2.1,1.09,,22.18,76.75,62.07,92.01,79.85,51.79,36.46,0.33,2.0,2.0
0900200010561,Azcapotzalco,3454,36,17,0,3335,2837,742,1042,751,582,919,864,489,350,3,11.47,0.9591,Bajo,Bajo,1.04,0.51,0.0,21.48,72.07,55.85,88.2,82.92,46.93,33.59,0.29,2.0,2.0
0900200010576,Azcapotzalco,3168,105,50,0,3079,2646,733,945,667,510,851,776,445,292,7,11.36,0.9565,Bajo,Bajo,3.31,1.62,0.0,23.14,70.58,53.97,90.05,82.12,47.09,30.9,0.74,2.0,2.0
0900200010947,Azcapotzalco,4456,95,35,,4353,3716,714,1309,1088,788,1217,941,453,416,4,11.18,0.9635,Bajo,Muy bajo,2.13,0.8,,16.02,83.12,60.2,92.97,71.89,34.61,31.78,0.31,2.0,1.0
0900200010896,Azcapotzalco,1532,12,6,0,1493,1320,263,568,464,396,534,474,320,246,0,12.96,0.972,Muy bajo,Muy bajo,0.78,0.4,0.0,17.17,81.69,69.72,94.01,83.45,56.34,43.31,0.0,1.0,1.0
0900200011184,Azcapotzalco,1433,0,0,0,1409,1253,194,471,414,346,450,355,301,193,0,12.68,0.9784,Muy bajo,Muy bajo,0.0,0.0,0.0,13.54,87.9,73.46,95.54,75.37,63.91,40.98,0.0,1.0,1.0
0900200010256,Azcapotzalco,4894,40,22,0,4779,4024,1202,1423,1116,949,1322,1088,761,470,5,11.67,0.9582,Bajo,Muy bajo,0.82,0.46,0.0,24.56,78.43,66.69,92.9,76.46,53.48,33.03,0.35,2.0,1.0
0900200010129,Azcapotzalco,5703,84,30,0,5529,4700,904,1831,1535,1298,1753,1438,854,786,4,12.43,0.9691,Muy bajo,Muy bajo,1.47,0.54,0.0,15.85,83.83,70.89,95.74,78.54,46.64,42.93,0.22,1.0,1.0
0900200010133,Azcapotzalco,7288,154,61,0,7041,5896,1309,1991,1497,1084,1852,1618,808,639,5,10.9,0.959,Bajo,Bajo,2.11,0.87,0.0,17.96,75.19,54.45,93.02,81.27,40.58,32.09,0.25,2.0,2.0
0900200010203,Azcapotzalco,5495,92,32,0,5343,4534,1273,1464,1074,807,1300,1068,588,402,,10.88,0.9442,Medio,Bajo,1.67,0.6,0.0,23.17,73.36,55.12,88.8,72.95,40.16,27.46,,3.0,2.0
0900200010218,Azcapotzalco,4162,57,28,0,4052,3526,942,1275,1010,800,1167,1009,597,465,3,11.67,0.962,Bajo,Bajo,1.37,0.69,0.0,22.63,79.22,62.75,91.53,79.14,46.82,36.47,0.24,2.0,2.0
0900200010222,Azcapotzalco,7064,130,59,,6831,5870,1665,1990,1530,1228,1855,1552,905,785,4,11.59,0.9576,Bajo,Bajo,1.84,0.86,,23.57,76.88,61.71,93.22,77.99,45.48,39.45,0.2,2.0,2.0
0900200010400,Azcapotzalco,3953,89,36,0,3857,3365,914,1227,923,758,1124,986,609,364,6,11.79,0.9469,Bajo,Bajo,2.25,0.93,0.0,23.12,75.22,61.78,91.61,80.36,49.63,29.67,0.49,2.0,2.0
0900200010434,Azcapotzalco,2831,27,10,0,2777,2492,471,962,820,726,891,787,586,368,,12.73,0.9702,Muy bajo,Muy bajo,0.95,0.36,0.0,16.64,85.24,75.47,92.62,81.81,60.91,38.25,,1.0,1.0
0900200010449,Azcapotzalco,2939,18,11,0,2860,2484,572,812,687,583,767,688,507,323,3,12.27,0.9665,Muy bajo,Muy bajo,0.61,0.38,0.0,19.46,84.61,71.8,94.46,84.73,62.44,39.78,0.37,1.0,1.0
0900200010557,Azcapotzalco,4475,94,45,0,4363,3739,1117,1396,1012,792,1273,1092,652,447,4,11.51,0.9585,Bajo,Bajo,2.1,1.03,0.0,24.96,72.49,56.73,91.19,78.22,46.7,32.02,0.29,2.0,2.0
0900200010631,Azcapotzalco,5263,77,28,0,5135,4374,1340,1444,1156,940,1347,1197,792,485,,11.75,0.9623,Bajo,Muy bajo,1.46,0.55,0.0,25.46,80.06,65.1,93.28,82.89,54.85,33.59,,2.0,1.0
0900200010699,Azcapotzalco,2696,11,13,0,2648,2381,593,897,803,742,857,779,582,481,0,14.07,0.9641,Bajo,Muy bajo,0.41,0.49,0.0,22.0,89.52,82.72,95.54,86.85,64.88,53.62,0.0,2.0,1.0
0900200010701,Azcapotzalco,2400,30,23,0,2357,2119,516,824,719,654,800,704,559,471,0,13.93,0.9763,Muy bajo,Muy bajo,1.25,0.98,0.0,21.5,87.26,79.37,97.09,85.44,67.84,57.16,0.0,1.0,1.0
0900200010716,Azcapotzalco,3775,40,25,,3685,3250,892,1252,1012,873,1152,1017,662,518,6,12.39,0.9621,Bajo,Muy bajo,1.06,0.68,,23.63,80.83,69.73,92.01,81.23,52.88,41.37,0.48,2.0,1.0
0900200010720,Azcapotzalco,2653,19,14,0,2609,2343,627,928,836,751,873,801,622,468,,14.01,0.9664,Muy bajo,Muy bajo,0.72,0.54,0.0,23.63,90.09,80.93,94.07,86.31,67.03,50.43,,1.0,1.0
090020001074A,Azcapotzalco,2850,76,37,0,2759,2394,639,933,682,563,871,765,472,314,,12.31,0.9666,Muy bajo,Bajo,2.67,1.34,0.0,22.42,73.1,60.34,93.35,81.99,50.59,33.65,,1.0,2.0
0900200010754,Azcapotzalco,2282,33,18,0,2228,1915,431,732,577,459,682,622,397,271,,11.84,0.9608,Bajo,Bajo,1.45,0.81,0.0,18.89,78.83,62.7,93.17,84.97,54.23,37.02,,2.0,2.0
0900200010773,Azcapotzalco,2314,41,18,0,2247,1954,400,692,481,354,615,579,358,200,,11.12,0.9621,Bajo,Bajo,1.77,0.8,0.0,17.29,69.51,51.16,88.87,83.67,51.73,28.9,,2.0,2.0
0900200010805,Azcapotzalco,1996,13,10,0,1955,1764,393,740,621,594,711,617,476,338,0,13.5,0.9739,Muy bajo,Muy bajo,0.65,0.51,0.0,19.69,83.92,80.27,96.08,83.38,64.32,45.68,0.0,1.0,1.0
0900200010839,Azcapotzalco,3004,65,27,0,2952,2670,538,1070,943,820,1012,851,660,506,,13.94,0.9676,Muy bajo,Muy bajo,2.16,0.91,0.0,17.91,88.13,76.64,94.58,79.53,61.68,47.29,,1.0,1.0
0900200010909,Azcapotzalco,1810,23,6,0,1770,1564,218,644,528,446,588,490,373,301,0,12.97,0.9727,Muy bajo,Muy bajo,1.27,0.34,0.0,12.04,81.99,69.25,91.3,76.09,57.92,46.74,0.0,1.0,1.0
0900200010985,Azcapotzalco,2334,51,14,0,2270,2006,440,692,554,448,643,521,411,309,0,11.96,0.9669,Muy bajo,Muy bajo,2.19,0.62,0.0,18.85,80.06,64.74,92.92,75.29,59.39,44.65,0.0,1.0,1.0
0900200011004,Azcapotzalco,7559,161,65,0,7338,6154,1644,2284,1789,1511,2137,1797,1094,906,7,11.84,0.9637,Bajo,Bajo,2.13,0.89,0.0,21.75,78.33,66.16,93.56,78.68,47.9,39.67,0.31,2.0,2.0
0900200011019,Azcapotzalco,1689,24,12,,1644,1383,278,534,420,355,488,468,282,215,3,11.79,0.9589,Bajo,Muy bajo,1.42,0.73,,16.46,78.65,66.48,91.39,87.64,52.81,40.26,0.56,2.0,1.0
0900200011095,Azcapotzalco,7035,77,32,0,6793,5797,1397,2142,1768,1475,2030,1721,1179,966,7,12.09,0.9662,Bajo,Muy bajo,1.09,0.47,0.0,19.86,82.54,68.86,94.77,80.35,55.04,45.1,0.33,2.0,1.0
0900200010970,Azcapotzalco,2953,19,7,0,2897,2541,526,883,768,659,821,720,537,403,,12.58,0.9728,Muy bajo,Muy bajo,0.64,0.24,0.0,17.81,86.98,74.63,92.98,81.54,60.82,45.64,,1.0,1.0
090020001099A,Azcapotzalco,1337,12,11,0,1301,1091,117,416,362,300,400,298,257,149,0,12.59,0.9667,Muy bajo,Muy bajo,0.9,0.85,0.0,8.75,87.02,72.12,96.15,71.63,61.78,35.82,0.0,1.0,1.0
0900200011131,Azcapotzalco,2543,34,16,0,2482,2252,550,889,745,608,825,725,517,364,0,12.93,0.9757,Muy bajo,Muy bajo,1.34,0.64,0.0,21.63,83.8,68.39,92.8,81.55,58.16,40.94,0.0,1.0,1.0
0900200011146,Azcapotzalco,927,42,17,0,914,817,185,342,287,244,315,268,194,146,0,13.12,0.974,Muy bajo,Muy bajo,4.53,1.86,0.0,19.96,83.92,71.35,92.11,78.36,56.73,42.69,0.0,1.0,1.0
0900200010877,Azcapotzalco,821,30,19,0,802,659,257,213,135,89,174,170,56,44,,10.0,0.9218,Alto,Bajo,3.65,2.37,0.0,31.3,63.38,41.78,81.69,79.81,26.29,20.66,,4.0,2.0
0900200010881,Azcapotzalco,5207,71,36,,4996,4203,1135,1464,1027,738,1327,1179,616,362,5,10.25,0.9474,Bajo,Bajo,1.36,0.72,,21.8,70.15,50.41,90.64,80.53,42.08,24.73,0.34,2.0,2.0
0900200010928,Azcapotzalco,1841,196,70,3,1761,1436,519,506,316,228,484,361,132,115,0,10.13,0.9538,Bajo,Bajo,10.65,3.98,0.17,28.19,62.45,45.06,95.65,71.34,26.09,22.73,0.0,2.0,2.0
0900200010913,Azcapotzalco,3311,30,10,0,3240,2818,566,976,799,619,890,805,332,375,0,11.45,0.9625,Bajo,Muy bajo,0.91,0.31,0.0,17.09,81.86,63.42,91.19,82.48,34.02,38.42,0.0,2.0,1.0
0900200011112,Azcapotzalco,4239,48,21,0,4142,3577,650,1300,1115,940,1223,1087,526,537,3,12.21,0.9669,Muy bajo,Muy bajo,1.13,0.51,0.0,15.33,85.77,72.31,94.08,83.62,40.46,41.31,0.23,1.0,1.0
0901700010070,Venustiano Carranza,3664,58,32,,3562,2970,1038,1007,741,540,927,817,478,295,,10.9,0.9502,Bajo,Bajo,1.58,0.9,,28.33,73.58,53.62,92.06,81.13,47.47,29.29,,2.0,2.0
0901700010865,Venustiano Carranza,4462,198,121,8,4309,3545,1143,1182,796,596,1054,923,370,258,4,10.19,0.944,Medio,Bajo,4.44,2.81,0.19,25.62,67.34,50.42,89.17,78.09,31.3,21.83,0.34,3.0,2.0
0901700011045,Venustiano Carranza,4132,39,16,0,4007,3321,969,1470,1267,1127,1422,1129,853,810,,13.54,0.9725,Muy bajo,Muy bajo,0.94,0.4,0.0,23.45,86.19,76.67,96.73,76.8,58.03,55.1,,1.0,1.0
0901700010210,Venustiano Carranza,13581,278,142,,13056,10529,4713,3897,2223,1349,3421,2991,1105,686,11,9.58,0.9371,Medio,Medio,2.05,1.09,,34.7,57.04,34.62,87.79,76.75,28.36,17.6,0.28,3.0,3.0
0901700011308,Venustiano Carranza,2791,50,25,,2722,2352,885,859,639,467,789,740,380,250,,11.64,0.9514,Bajo,Bajo,1.79,0.92,,31.71,74.39,54.37,91.85,86.15,44.24,29.1,,2.0,2.0
0901700010831,Venustiano Carranza,5009,104,49,,4856,4057,1200,1349,915,672,1210,1036,417,288,7,10.51,0.9478,Bajo,Bajo,2.08,1.01,,23.96,67.83,49.81,89.7,76.8,30.91,21.35,0.52,2.0,2.0
0901700011191,Venustiano Carranza,2663,94,38,,2590,2243,865,784,601,465,709,611,356,249,,11.87,0.9496,Bajo,Bajo,3.53,1.47,,32.48,76.66,59.31,90.43,77.93,45.41,31.76,,2.0,2.0
0901700011219,Venustiano Carranza,2419,90,55,0,2360,2047,698,719,577,460,666,525,350,283,3,11.98,0.9558,Bajo,Bajo,3.72,2.33,0.0,28.85,80.25,63.98,92.63,73.02,48.68,39.36,0.42,2.0,2.0
0901700011223,Venustiano Carranza,3613,98,42,,3515,3049,1064,1124,872,719,1036,957,518,366,0,12.04,0.9518,Bajo,Bajo,2.71,1.19,,29.45,77.58,63.97,92.17,85.14,46.09,32.56,0.0,2.0,2.0
0901700010367,Venustiano Carranza,5702,258,107,0,5479,4430,2003,1638,1095,708,1503,1324,416,413,7,10.1,0.9467,Bajo,Bajo,4.52,1.95,0.0,35.13,66.85,43.22,91.76,80.83,25.4,25.21,0.43,2.0,2.0
0901700010047,Venustiano Carranza,3850,155,84,,3746,3164,1160,1144,832,623,1049,893,491,307,,10.96,0.951,Bajo,Bajo,4.03,2.24,,30.13,72.73,54.46,91.7,78.06,42.92,26.84,,2.0,2.0
0901700010051,Venustiano Carranza,3587,54,20,0,3484,2983,1103,1048,819,594,956,797,485,279,,11.4,0.9537,Bajo,Bajo,1.51,0.57,0.0,30.75,78.15,56.68,91.22,76.05,46.28,26.62,,2.0,2.0
0901700010140,Venustiano Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,
0901700010032,Venustiano Carranza,10277,130,80,0,9946,8267,2473,3477,2970,2533,3324,2694,1984,1636,7,12.67,0.9683,Muy bajo,Muy bajo,1.26,0.8,0.0,24.06,85.42,72.85,95.6,77.48,57.06,47.05,0.2,1.0,1.0
090170001048A,Venustiano Carranza,4890,148,70,,4699,3844,1905,1401,931,535,1242,1109,359,265,12,9.75,0.937,Medio,Bajo,3.03,1.49,,38.96,66.45,38.19,88.65,79.16,25.62,18.92,0.86,3.0,2.0
0901700010687,Venustiano Carranza,368,34,10,0,353,281,199,96,62,40,88,69,27,26,0,10.01,0.9231,Alto,Bajo,9.24,2.83,0.0,54.08,64.58,41.67,91.67,71.88,28.12,27.08,0.0,4.0,2.0
0901700010085,Venustiano Carranza,2912,38,24,0,2818,2403,811,853,623,464,781,728,404,281,,10.99,0.9529,Bajo,Bajo,1.3,0.85,0.0,27.85,73.04,54.4,91.56,85.35,47.36,32.94,,2.0,2.0
0901700010102,Venustiano Carranza,2899,58,28,0,2784,2324,771,825,582,433,771,623,416,226,,11.13,0.9584,Bajo,Bajo,2.0,1.01,0.0,26.6,70.55,52.48,93.45,75.52,50.42,27.39,,2.0,2.0
0901700010117,Venustiano Carranza,3305,49,12,0,3219,2746,898,986,691,535,907,721,435,295,3,11.37,0.9563,Bajo,Bajo,1.48,0.37,0.0,27.17,70.08,54.26,91.99,73.12,44.12,29.92,0.3,2.0,2.0
0901700010121,Venustiano Carranza,5176,111,33,0,5037,4204,1449,1445,1016,702,1263,1128,551,289,4,10.56,0.947,Bajo,Bajo,2.14,0.66,0.0,27.99,70.31,48.58,87.4,78.06,38.13,20.0,0.28,2.0,2.0
0901700010136,Venustiano Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,
0901700010155,Venustiano Carranza,2974,39,27,,2892,2476,1032,885,586,428,780,642,340,236,4,10.49,0.9427,Medio,Bajo,1.31,0.93,,34.7,66.21,48.36,88.14,72.54,38.42,26.67,0.45,3.0,2.0
0901700010329,Venustiano Carranza,3668,81,36,0,3557,3008,908,1166,791,580,1052,866,500,322,4,11.03,0.9507,Bajo,Bajo,2.21,1.01,0.0,24.75,67.84,49.74,90.22,74.27,42.88,27.62,0.34,2.0,2.0
0901700010884,Venustiano Carranza,8393,267,96,0,8087,6726,2174,2470,1786,1254,2220,1764,839,613,13,10.61,0.9531,Bajo,Bajo,3.18,1.19,0.0,25.9,72.31,50.77,89.88,71.42,33.97,24.82,0.53,2.0,2.0
0901700010899,Venustiano Carranza,3055,111,65,0,2949,2400,956,865,649,472,801,755,370,284,3,10.61,0.9319,Medio,Bajo,3.63,2.2,0.0,31.29,75.03,54.57,92.6,87.28,42.77,32.83,0.35,3.0,2.0
0901700011030,Venustiano Carranza,3171,42,20,0,3014,2592,784,812,594,455,723,628,244,125,,10.87,0.9534,Bajo,Bajo,1.32,0.66,0.0,24.72,73.15,56.03,89.04,77.34,30.05,15.39,,2.0,2.0
0901700011242,Venustiano Carranza,4012,181,84,0,3893,3332,1231,1270,1006,791,1208,1080,633,423,3,12.06,0.9604,Bajo,Bajo,4.51,2.16,0.0,30.68,79.21,62.28,95.12,85.04,49.84,33.31,0.24,2.0,2.0
0901700011261,Venustiano Carranza,3703,92,40,0,3614,3105,1188,1182,924,742,1081,901,586,467,4,11.83,0.9518,Bajo,Bajo,2.48,1.11,0.0,32.08,78.17,62.77,91.46,76.23,49.58,39.51,0.34,2.0,2.0
0901700011276,Venustiano Carranza,2438,90,37,0,2374,2047,804,745,567,426,688,591,332,232,5,11.67,0.9516,Bajo,Bajo,3.69,1.56,0.0,32.98,76.11,57.18,92.35,79.33,44.56,31.14,0.67,2.0,2.0
0901700011312,Venustiano Carranza,10188,340,177,,9889,8109,2410,2956,2456,1942,2815,2316,1576,1384,3,11.52,0.9622,Bajo,Muy bajo,3.34,1.79,,23.66,83.09,65.7,95.23,78.35,53.32,46.82,0.1,2.0,1.0
0901700011399,Venustiano Carranza,4440,85,42,0,4309,3630,1158,1547,1319,1166,1487,1205,808,774,,12.84,0.9649,Bajo,Muy bajo,1.91,0.97,0.0,26.08,85.26,75.37,96.12,77.89,52.23,50.03,,2.0,1.0
0901700011416,Venustiano Carranza,6791,250,115,0,6577,5515,2050,1856,1375,1033,1709,1500,819,529,11,10.5,0.946,Medio,Bajo,3.68,1.75,0.0,30.19,74.08,55.66,92.08,80.82,44.13,28.5,0.59,3.0,2.0
0901700011435,Venustiano Carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,
090170001144A,Venustiano Carranza,5519,134,58,0,5399,4756,1352,2018,1666,1393,1907,1674,1075,894,,12.97,0.9701,Muy bajo,Muy bajo,2.43,1.07,0.0,24.5,82.56,69.03,94.5,82.95,53.27,44.3,,1.0,1.0
0901700011454,Venustiano Carranza,1543,4,5,0,1506,1348,327,551,479,420,521,438,363,260,0,13.73,0.9718,Muy bajo,Muy bajo,0.26,0.33,0.0,21.19,86.93,76.23,94.56,79.49,65.88,47.19,0.0,1.0,1.0
0901700010206,Venustiano Carranza,2629,92,30,0,2554,2152,711,755,538,399,691,557,331,207,,11.01,0.9541,Bajo,Bajo,3.5,1.17,0.0,27.04,71.26,52.85,91.52,73.77,43.84,27.42,,2.0,2.0
0901700011149,Venustiano Carranza,1182,14,4,0,1157,1055,344,398,343,287,374,340,261,203,,13.41,0.953,Bajo,Muy bajo,1.18,0.35,0.0,29.1,86.18,72.11,93.97,85.43,65.58,51.01,,2.0,1.0
0901700011204,Venustiano Carranza,3016,70,33,0,2945,2550,889,967,757,615,905,616,465,314,5,11.81,0.9595,Bajo,Bajo,2.32,1.12,0.0,29.48,78.28,63.6,93.59,63.7,48.09,32.47,0.52,2.0,2.0
0901700011238,Venustiano Carranza,3484,63,30,0,3391,2942,953,1118,832,694,1018,761,478,321,,11.65,0.9564,Bajo,Bajo,1.81,0.88,0.0,27.35,74.42,62.08,91.06,68.07,42.75,28.71,,2.0,2.0
0901700011098,Venustiano Carranza,807,0,0,0,785,693,182,255,234,194,245,205,159,123,0,13.59,0.9628,Bajo,Muy bajo,0.0,0.0,0.0,22.55,91.76,76.08,96.08,80.39,62.35,48.24,0.0,2.0,1.0
0901700011420,Venustiano Carranza,547,9,3,0,536,453,150,128,97,76,113,106,47,33,0,10.25,0.9469,Bajo,Bajo,1.65,0.56,0.0,27.42,75.78,59.38,88.28,82.81,36.72,25.78,0.0,2.0,2.0
0901700010189,Venustiano Carranza,1652,0,,0,1590,1362,432,469,375,282,437,360,246,151,0,11.72,0.9601,Bajo,Bajo,0.0,,0.0,26.15,79.96,60.13,93.18,76.76,52.45,32.2,0.0,2.0,2.0
0901700010193,Venustiano Carranza,1487,10,8,0,1458,1272,384,460,352,272,409,353,247,91,0,11.42,0.9561,Bajo,Bajo,0.67,0.55,0.0,25.82,76.52,59.13,88.91,76.74,53.7,19.78,0.0,2.0,2.0
0901700010475,Venustiano Carranza,1419,19,9,0,1359,1155,416,405,259,184,349,288,139,120,,10.55,0.9456,Medio,Bajo,1.34,0.66,0.0,29.32,63.95,45.43,86.17,71.11,34.32,29.63,,3.0,2.0
0901700010511,Venustiano Carranza,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,
0901700010526,Venustiano Carranza,4882,127,64,0,4734,4007,1330,1597,1255,1022,1494,1250,820,635,,12.13,0.9644,Bajo,Muy bajo,2.6,1.35,0.0,27.24,78.58,63.99,93.55,78.27,51.35,39.76,,2.0,1.0
0901700010530,Venustiano Carranza,1856,26,13,0,1799,1572,503,629,463,359,584,497,289,222,,11.85,0.9554,Bajo,Bajo,1.4,0.72,0.0,27.1,73.61,57.07,92.85,79.01,45.95,35.29,,2.0,2.0
0901700010278,Venustiano Carranza,2185,14,4,0,2116,1800,582,611,454,330,546,361,239,166,,11.25,0.956,Bajo,Bajo,0.64,0.19,0.0,26.64,74.3,54.01,89.36,59.08,39.12,27.17,,2.0,2.0
0901700010244,Venustiano Carranza,2421,8,4,0,2313,1790,627,633,458,367,559,473,268,183,,11.2,0.9586,Bajo,Bajo,0.33,0.17,0.0,25.9,72.35,57.98,88.31,74.72,42.34,28.91,,2.0,2.0
