anio,lengua,lengua_nombre,tipo,ent,ent_nombre,mun,num,casos
1990,0509,Mazateco,nacimiento,021,Puebla,,10.0,1
1990,0511,Chocholteco,nacimiento,020,Oaxaca,,110.0,11
1990,0511,Chocholteco,nacimiento,021,Puebla,,90.0,9
1990,0511,Chocholteco,nacimiento,009,Ciudad de México,,20.0,2
1990,0513,Zapoteco,nacimiento,020,Oaxaca,,12170.0,1217
1990,0513,Zapoteco,nacimiento,009,Ciudad de México,,700.0,70
1990,0513,Zapoteco,nacimiento,030,Veracruz,,380.0,38
1990,0513,Zapoteco,nacimiento,021,Puebla,,120.0,12
1990,0513,Zapoteco,nacimiento,015,México,,100.0,10
1990,0513,Zapoteco,nacimiento,007,Chiapas,,80.0,8
1990,0513,Zapoteco,nacimiento,012,Guerrero,,40.0,4
1990,0513,Zapoteco,nacimiento,999,No especificado,,40.0,4
1990,0513,Zapoteco,nacimiento,013,Hidalgo,,30.0,3
1990,0513,Zapoteco,nacimiento,004,Campeche,,20.0,2
1990,0513,Zapoteco,nacimiento,032,Zacatecas,,10.0,1
1990,0513,Zapoteco,nacimiento,023,Quintana Roo,,10.0,1
1990,0513,Zapoteco,nacimiento,016,Michoacán,,10.0,1
1990,0513,Zapoteco,nacimiento,005,Coahuila,,10.0,1
1990,0513,Zapoteco,nacimiento,011,Guanajuato,,10.0,1
1990,0513,Zapoteco,nacimiento,019,Nuevo León,,10.0,1
1990,0514,Chatino,nacimiento,020,Oaxaca,,50.0,5
1990,0515,Amuzgo,nacimiento,012,Guerrero,,90.0,9
1990,0515,Amuzgo,nacimiento,021,Puebla,,20.0,2
1990,0515,Amuzgo,nacimiento,009,Ciudad de México,,10.0,1
1990,0515,Amuzgo,nacimiento,020,Oaxaca,,10.0,1
1990,0515,Amuzgo,nacimiento,999,No especificado,,10.0,1
1990,0516,Mixteco,nacimiento,020,Oaxaca,,11900.0,1190
1990,0516,Mixteco,nacimiento,021,Puebla,,1230.0,123
1990,0516,Mixteco,nacimiento,009,Ciudad de México,,630.0,63
1990,0516,Mixteco,nacimiento,012,Guerrero,,250.0,25
1990,0516,Mixteco,nacimiento,015,México,,100.0,10
1990,0516,Mixteco,nacimiento,030,Veracruz,,80.0,8
1990,0516,Mixteco,nacimiento,013,Hidalgo,,20.0,2
1990,0516,Mixteco,nacimiento,016,Michoacán,,20.0,2
1990,0516,Mixteco,nacimiento,999,No especificado,,10.0,1
1990,0516,Mixteco,nacimiento,017,Morelos,,10.0,1
1990,0516,Mixteco,nacimiento,029,Tlaxcala,,10.0,1
1990,0516,Mixteco,nacimiento,014,Jalisco,,10.0,1
1990,0516,Mixteco,nacimiento,008,Chihuahua,,10.0,1
1990,0516,Mixteco,nacimiento,024,San Luis Potosí,,10.0,1
1990,0517,Cuicateco,nacimiento,020,Oaxaca,,300.0,30
1990,0517,Cuicateco,nacimiento,012,Guerrero,,10.0,1
1990,0518,Triqui,nacimiento,020,Oaxaca,,160.0,16
1990,0518,Triqui,nacimiento,009,Ciudad de México,,10.0,1
1990,0601,Huasteco,nacimiento,030,Veracruz,,390.0,39
1990,0601,Huasteco,nacimiento,024,San Luis Potosí,,350.0,35
1990,0601,Huasteco,nacimiento,020,Oaxaca,,100.0,10
1990,0601,Huasteco,nacimiento,013,Hidalgo,,60.0,6
1990,0601,Huasteco,nacimiento,012,Guerrero,,20.0,2
1990,0601,Huasteco,nacimiento,021,Puebla,,20.0,2
1990,0601,Huasteco,nacimiento,009,Ciudad de México,,10.0,1
1990,0602,Maya,nacimiento,031,Yucatán,,1610.0,161
1990,0602,Maya,nacimiento,009,Ciudad de México,,310.0,31
1990,0602,Maya,nacimiento,004,Campeche,,190.0,19
1990,0602,Maya,nacimiento,007,Chiapas,,50.0,5
1990,0602,Maya,nacimiento,030,Veracruz,,40.0,4
1990,0602,Maya,nacimiento,021,Puebla,,30.0,3
1990,0602,Maya,nacimiento,027,Tabasco,,30.0,3
1990,0602,Maya,nacimiento,023,Quintana Roo,,30.0,3
1990,0602,Maya,nacimiento,224,Otro país,,30.0,3
1990,0602,Maya,nacimiento,208,Otro país,,20.0,2
1990,0602,Maya,nacimiento,005,Coahuila,,20.0,2
1990,0602,Maya,nacimiento,016,Michoacán,,20.0,2
1990,0602,Maya,nacimiento,019,Nuevo León,,20.0,2
1990,0602,Maya,nacimiento,017,Morelos,,20.0,2
1990,0602,Maya,nacimiento,029,Tlaxcala,,20.0,2
1990,0602,Maya,nacimiento,014,Jalisco,,10.0,1
1990,0602,Maya,nacimiento,028,Tamaulipas,,10.0,1
1990,0602,Maya,nacimiento,214,Otro país,,10.0,1
1990,0602,Maya,nacimiento,020,Oaxaca,,10.0,1
1990,0602,Maya,nacimiento,026,Sonora,,10.0,1
1990,0602,Maya,nacimiento,012,Guerrero,,10.0,1
